자치구명,구청주소
강남구,서울시 강남구 학동로 426 (삼성동)
강동구,서울시 강동구 성내로 25 (성내동)
강북구,서울시 강북구 도봉로89길 13 (수유동)
강서구,서울시 강서구 화곡로302 (화곡동)
관악구,서울시 관악구 관악로145 (봉천동)
광진구,서울시 광진구 자양로117 (자양동)
구로구,서울시 구로구 가마산로 245 (구로동)
금천구,서울시 금천구 시흥대로73길 70
노원구,서울시 노원구 노해로 437 (상계동)
도봉구,서울시 도봉구 마들로 656 (방학동)
동대문구,서울시 동대문구 천호대로 145 (용두동)
동작구,서울시 동작구 장승배기로 161 (노량진2동 47-2)
마포구,서울시 마포구 월드컵로 212 (성산동)
서대문구,서울시 서대문구 연희로 248 (연희동)
서초구,서울시 서초구 남부순환로2584 (서초동)
성동구,서울시 성동구 고산자로270
성북구,서울시 성북구 보문로 168 (삼선동 5가)
송파구,서울시 송파구 올림픽로 326 (신천동)
양천구,서울시 양천구 목동동로 105 (신정동)
영등포구,서울시 영등포구 당산로 123 (당산동3가)
용산구,서울시 용산구 녹사평대로150 (이태원동)
은평구,서울시 은평구 은평로195 (녹번동)
종로구,서울 종로구 종로1길 50
중구,서울시 중구 창경궁로 17 (예관동)
중랑구,서울시 중랑구 봉화산로 179 (신내동)
,
,
,
,
