지역,시설명,주소,시설용량,처리대상폐기물,비고
경기도,리뉴에너지경기㈜,경기도 광주시 곤지암읍 열미길 22,,,
경기도,㈜청송산업개발,경기도 동두천시 삼육사로652번길 60(상패동),,,
경기도,코어엔텍 주식회사,경기도 시흥시 소망공원로 5,,,
경기도,시흥도시공사,경기도 시흥시 옥구천서로 9번길 45,,,
경기도,㈜비노텍,경기도 안산시 단원구 해안로 308(원시동),,,
경기도,대일개발㈜,경기도 안산시 단원구 지원로 7(성곡동),,,
경기도,성림유화㈜,경기도 안산시 단원구 첨단로 215(성곡동),,,
경기도,부경산업㈜,경기도 안산시 단원구 신원로91번길 16(성곡동),,,
경기도,한국환경개발㈜,경기도 안산시 단원구 첨단로207번길 5(성곡동),,,
경기도,㈜가나에너지,경기도 양주시 남면 삼일로485번길 92,,,
경기도,㈜애니테크,경기도 양주시 남면 운하로 66-14,,,
경기도,이도에코오산㈜,경기도 오산시 황새로 149번길 55(누읍동),,,
경기도,㈜뉴그린,경기도 평택시 포승읍 원정리 1204-4,,,
경기도,화성그린에너지밸류㈜,경기도 화성시 향남읍 발안공단로 139,,,
경기도,신대한정유산업(주),경기도 화성시 정남면 가장로 334-10,,,
경기도,(주)신승에너지,경기도 화성시 매바위로 570-10(장덕동),,,
충청남도,환경에너지사업소,충청남도 천안시 서북구 백석동 531,320,,
충청남도,환경에너지사업소,충청남도 천안시 서북구 백석동 531,250,,
충청남도,공주시청,충청남도 공주시 검상동 326,50,,
충청남도,생활폐기물종합처리장,충청남도 보령시 남곡동 1140-6,50,,
충청남도,환경과학공원,충청남도 아산시 배미로 154,200,,통합허가
충청남도,환경자원화센터,충청남도 논산시 은진면 버들길 137,50,,
충청남도,계룡시청,충청남도 계룡시 두마면 입암리 516,31.2,,
충청남도,생활페기물소각시설,충청남도 금산군 추부면 용지리 432-2,30,,
충청남도,자원순환센터,충청남도 서천군 비인면 관리 547-1,30,,
충청남도,환경사업소,충청남도 청양군 청양읍 벽천리 109-8,15,,
충청남도,맑은물누리센터,충청남도 예산군 대흥면 대률리 산51-1,40,,
충청남도,환경관리사업소,충청남도 태안군 태안읍 삭선리 21-3,45,,
인천,송도자원환경센터,"인천광역시 연수구 인천신항대로892번길 50, 송도자원환경센터",540,생활,
인천,청라자원환경센터,인천광역시 서구 경서동 673-6,420,생활폐기물,
인천,강화군 소각장,인천광역시 강화군 강화읍 해안북로 100,25,생활,
인천,대청 소각시설,인천광역시 옹진군 대청면 대청리 산16-26,1.6,"플라스틱류, 종이류, 나무류, 음식물, 섬유류, 고무피혁류",
인천,소청 소각시설,대청면 소청리 92,0.8,"플라스틱류, 종이류, 나무류, 음식물, 섬유류, 고무피혁류",
인천,덕적 소각시설,덕적면 서포리 산31,0.8,"플라스틱류, 종이류, 나무류, 음식물, 섬유류, 고무피혁류",
인천,백령 소각시설,백령면 진촌리 2376,4,"폐플라스틱류, 폐종이류, 폐목재류, 폐음식물류, 폐고무피혁류",
인천,소연평 소각시설,연평면 소연평리 931-4,0.8,"폐어망, 비닐플라스틱류, 종이류, 목재류, 음식물, 섬유류",
인천,연평 소각시설,연평면 연평리 산505-1,4,"폐지, 폐섬유, 폐합성수지, 음식물쓰레기, 폐목재, 기타",
인천,승봉 소각시설,자월면 승봉리 771-3,0.8,"플라스틱류, 종이류, 나무류, 음식물, 섬유류, 고무피혁류",
인천,㈜메라톤,인천광역시 남동구 남동대로79번길 54(고잔동),2,,
인천,㈜에몬스가구,논현고잔로 47(고잔동),3.3,,
인천,장인가구㈜,호구포로44번길 23-30(고잔동),4.3,,
인천,동서식품㈜,인천광역시 부평구 새벌로 55 (청천동),46.8,,
인천,㈜월드오에이,인천광역시 서구 건지로121번길 17(석남동),2,,
인천,㈜신안합성,단봉로62번안길 11(오류동),2,,
인천,동원로엑스인천㈜,북항로309번길 84(원창동),4,,
인천,동화기업㈜,염곡로 133(가좌동 173-144),43,,
인천,인천국제공항공사,인천. 중구 영종해안북로1050번길 78-13,140,생활,
인천,㈜이알지서비스,인천광역시 남동구 남동서로316번길 41,96,,
인천,㈜그린스코,앵고개로654번길 99,80.4,,
인천,(주)케이비아이텍,"인천광역시 서구 건지로153번길 54, 55 (석남동)",112,,
인천,경인환경에너지(주),사렴로65번길 24(경서동),96,,
인천,(주)에이티에너지,중봉대로386번길 9(원창동),44.4,,
