순위,자치구명,연도,발생량,재활용소계,소각량,매립량,기타,일일소각필요량_톤,재활용비율,소각비율,매립비율
1,강남구,2024,266815,169222,85233,10546,1814.0,233.5150684931507,63.4,31.9,4.0
2,강서구,2024,590910,270188,50371,14385,255967.0,138.0027397260274,45.7,8.5,2.4
3,마포구,2024,142121,85360,49895,5601,1266.0,136.6986301369863,60.1,35.1,3.9
4,송파구,2024,268890,162401,48885,14789,42814.0,133.93150684931507,60.4,18.2,5.5
5,서초구,2024,180257,113288,47403,16181,3385.0,129.87123287671233,62.8,26.3,9.0
6,구로구,2024,122831,71343,44102,7011,375.0,120.82739726027397,58.1,35.9,5.7
7,영등포구,2024,158377,106906,42491,7829,1150.0,116.41369863013699,67.5,26.8,4.9
8,중구,2024,133576,85767,41851,4641,1318.0,114.66027397260274,64.2,31.3,3.5
9,노원구,2024,150001,96090,41725,1856,10329.0,114.31506849315069,64.1,27.8,1.2
10,중랑구,2024,107223,66826,37416,2942,39.0,102.5095890410959,62.3,34.9,2.7
11,종로구,2024,98887,58688,35903,3869,427.0,98.36438356164383,59.3,36.3,3.9
12,강동구,2024,129564,84538,33808,10643,574.0,92.62465753424658,65.2,26.1,8.2
13,동대문구,2024,112593,73460,33612,4632,889.0,92.08767123287672,65.2,29.9,4.1
14,양천구,2024,121756,72237,33545,6453,9522.0,91.9041095890411,59.3,27.6,5.3
15,용산구,2024,103895,67515,32618,3506,257.0,89.36438356164383,65.0,31.4,3.4
16,서대문구,2024,99837,63501,31947,4288,101.0,87.52602739726028,63.6,32.0,4.3
17,성동구,2024,159245,120565,30444,6175,2062.0,83.40821917808219,75.7,19.1,3.9
18,성북구,2024,117738,87203,28119,1972,445.0,77.03835616438356,74.1,23.9,1.7
19,광진구,2024,107234,71082,27968,8176,8.0,76.62465753424658,66.3,26.1,7.6
20,동작구,2024,119527,80659,27158,9166,2544.0,74.40547945205479,67.5,22.7,7.7
21,은평구,2024,127441,72827,24803,29811,,67.95342465753424,57.1,19.5,23.4
22,관악구,2024,149864,111384,24650,13830,,67.53424657534246,74.3,16.4,9.2
23,강북구,2024,83607,57254,24101,2252,,66.03013698630137,68.5,28.8,2.7
24,도봉구,2024,88094,61429,20306,2084,4276.0,55.632876712328766,69.7,23.1,2.4
25,금천구,2024,96694,64032,10564,21528,570.0,28.942465753424656,66.2,10.9,22.3
