구분별1,자치구명,발생량,재활용소계,재활용,음식물,소각량,매립량,기타,연도,합계검증값,오차,일일소각필요량_톤,기타_소각비율
,종로구,98887,58688,29130,29559,35903,3869,427.0,2024,98887.0,0.0,98.36438356164383,0.011893156560733087
,중구,133576,85767,47751,38016,41851,4641,1318.0,2024,133577.0,-1.0,114.66027397260274,0.031492676399608135
,용산구,103895,67515,42197,25318,32618,3506,257.0,2024,103896.0,-1.0,89.36438356164383,0.007879085167698816
,성동구,159245,120565,93089,27476,30444,6175,2062.0,2024,159246.0,-1.0,83.40821917808219,0.0677309157797924
,광진구,107234,71082,41987,29096,27968,8176,8.0,2024,107234.0,0.0,76.62465753424658,0.0002860411899313501
,동대문구,112593,73460,42239,31221,33612,4632,889.0,2024,112593.0,0.0,92.08767123287672,0.026448887302153994
,중랑구,107223,66826,37464,29362,37416,2942,39.0,2024,107223.0,0.0,102.5095890410959,0.001042334830019243
,성북구,117738,87203,55025,32178,28119,1972,445.0,2024,117739.0,-1.0,77.03835616438356,0.015825598349870195
,강북구,83607,57254,35218,22037,24101,2252,,2024,83607.0,0.0,66.03013698630137,
,도봉구,88094,61429,37068,24361,20306,2084,4276.0,2024,88095.0,-1.0,55.632876712328766,0.21057815424012608
,노원구,150001,96090,55535,40555,41725,1856,10329.0,2024,150000.0,1.0,114.31506849315069,0.24754943079688435
,은평구,127441,72827,46712,26115,24803,29811,,2024,127441.0,0.0,67.95342465753424,
,서대문구,99837,63501,40880,22621,31947,4288,101.0,2024,99837.0,0.0,87.52602739726028,0.0031614862115378595
,마포구,142121,85360,58662,26698,49895,5601,1266.0,2024,142122.0,-1.0,136.6986301369863,0.025373283896181983
,양천구,121756,72237,42695,29542,33545,6453,9522.0,2024,121757.0,-1.0,91.9041095890411,0.2838575048442391
,강서구,590910,270188,225445,44743,50371,14385,255967.0,2024,590911.0,-1.0,138.0027397260274,5.081634273689226
,구로구,122831,71343,43017,28325,44102,7011,375.0,2024,122831.0,0.0,120.82739726027397,0.00850301573624779
,금천구,96694,64032,44733,19299,10564,21528,570.0,2024,96694.0,0.0,28.942465753424656,0.0539568345323741
,영등포구,158377,106906,60696,46210,42491,7829,1150.0,2024,158376.0,1.0,116.41369863013699,0.027064554846908756
,동작구,119527,80659,52048,28611,27158,9166,2544.0,2024,119527.0,0.0,74.40547945205479,0.09367405552691656
,관악구,149864,111384,80526,30858,24650,13830,,2024,149864.0,0.0,67.53424657534246,
,서초구,180257,113288,63473,49815,47403,16181,3385.0,2024,180257.0,0.0,129.87123287671233,0.0714089825538468
,강남구,266815,169222,88651,80570,85233,10546,1814.0,2024,266815.0,0.0,233.5150684931507,0.02128283646005655
,송파구,268890,162401,96844,65558,48885,14789,42814.0,2024,268889.0,1.0,133.93150684931507,0.8758105758412601
,강동구,129564,84538,46483,38055,33808,10643,574.0,2024,129563.0,1.0,92.62465753424658,0.016978230004732607
